Brand,Origin,Characteristics,Preparation Method
Java,Três Pontas,Citrusy,French Press
Blue Mountain,Fazenda Serrinha,Balanced,Italiana
Kona,Fazenda Primavera,Chocolatey,Espresso
Typica,Fazenda Serrinha,Floral,Hario V60
Bourbon,Fazenda Monte Verde,Rich Flavor,Clever
Caturra,Santa Rita do Sapucaí,Smokey,French Press
Catuai,Poços de Caldas,Full Body,Italiana
SL28,Três Pontas,Earthy,Espresso
SL34,Fazenda Serrinha,Chocolatey,Hario V60
Pacamara,Fazenda Serrinha,Nutty,Clever
Gesha,Itamogi,Spicy,French Press
Maragogipe,Varginha,Sweet Aftertaste,Italiana
Mundo Novo,Poços de Caldas,Citrusy,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Caramel,Hario V60
Red Bourbon,Fazenda Boa Esperança,Bright Acidity,Clever
Ethiopian Heirloom,Guaxupé,Smokey,French Press
Villalobos,Lavras,Bright Acidity,Italiana
Java,Patrocínio,Nutty,Espresso
Blue Mountain,Santa Rita do Sapucaí,Sweet Aftertaste,Hario V60
Kona,Fazenda São Luiz,Spicy,Clever
Typica,Três Pontas,Earthy,French Press
Bourbon,Serra Negra,Balanced,Italiana
Caturra,Carmo de Minas,Full Body,Espresso
Catuai,Fazenda Primavera,Earthy,Hario V60
SL28,Itamogi,Caramel,Clever
SL34,Fazenda Santa Clara,Smooth Finish,French Press
Pacamara,Guaxupé,Smokey,Italiana
Gesha,Guaxupé,Balanced,Espresso
Maragogipe,São Sebastião do Paraíso,Smokey,Hario V60
Mundo Novo,Serra Negra,Bright Acidity,Clever
Yellow Bourbon,Carmo de Minas,Floral,French Press
Red Bourbon,São Sebastião do Paraíso,Nutty,Italiana
Ethiopian Heirloom,Fazenda Vista Alegre,Caramel,Espresso
Villalobos,Fazenda Boa Esperança,Full Body,Hario V60
Java,Santa Rita do Sapucaí,Smooth Finish,Clever
Blue Mountain,Itamogi,Balanced,French Press
Kona,Fazenda São Luiz,Sweet Aftertaste,Italiana
Typica,Araguari,Sweet Aftertaste,Espresso
Bourbon,Fazenda Santa Clara,Nutty,Hario V60
Caturra,Três Pontas,Full Body,Clever
Catuai,Santa Rita do Sapucaí,Caramel,French Press
SL28,Patrocínio,Bright Acidity,Italiana
SL34,Três Pontas,Floral,Espresso
Pacamara,Fazenda São Luiz,Bright Acidity,Hario V60
Gesha,Fazenda Boa Esperança,Spicy,Clever
Maragogipe,Serra Negra,Chocolatey,French Press
Mundo Novo,Fazenda Monte Verde,Smokey,Italiana
Yellow Bourbon,Lavras,Sweet Aftertaste,Espresso
Red Bourbon,Fazenda Primavera,Fruity,Hario V60
Ethiopian Heirloom,Serra Negra,Sweet Aftertaste,Clever
Villalobos,Fazenda Vista Alegre,Smooth Finish,French Press
Java,Guaxupé,Smokey,Italiana
Blue Mountain,Santa Rita do Sapucaí,Nutty,Espresso
Kona,Varginha,Sweet Aftertaste,Hario V60
Typica,Fazenda Serrinha,Floral,Clever
Bourbon,São Sebastião do Paraíso,Spicy,French Press
Caturra,Fazenda Paraíso,Citrusy,Italiana
Catuai,Fazenda Boa Esperança,Floral,Espresso
SL28,Fazenda Primavera,Balanced,Hario V60
SL34,Fazenda Serrinha,Full Body,Clever
Pacamara,Itamogi,Chocolatey,French Press
Gesha,Fazenda São Luiz,Rich Flavor,Italiana
Maragogipe,Fazenda Santa Clara,Smokey,Espresso
Mundo Novo,Poços de Caldas,Earthy,Hario V60
Yellow Bourbon,Poços de Caldas,Spicy,Clever
Red Bourbon,Carmo de Minas,Chocolatey,French Press
Ethiopian Heirloom,Fazenda São Luiz,Rich Flavor,Italiana
Villalobos,São Sebastião do Paraíso,Balanced,Espresso
Java,Guaxupé,Smokey,Hario V60
Blue Mountain,Santa Rita do Sapucaí,Nutty,Clever
Kona,São Sebastião do Paraíso,Sweet Aftertaste,French Press
Typica,Fazenda Vista Alegre,Earthy,Italiana
Bourbon,Fazenda São Luiz,Balanced,Espresso
Caturra,Santa Rita do Sapucaí,Earthy,Hario V60
Catuai,Itamogi,Caramel,Clever
SL28,Fazenda Vista Alegre,Full Body,French Press
SL34,Fazenda Monte Verde,Rich Flavor,Italiana
Pacamara,Fazenda Primavera,Balanced,Espresso
Gesha,Araguari,Citrusy,Hario V60
Maragogipe,Guaxupé,Fruity,Clever
Mundo Novo,Fazenda Paraíso,Sweet Aftertaste,French Press
Yellow Bourbon,Guaxupé,Smooth Finish,Italiana
Red Bourbon,São Sebastião do Paraíso,Smooth Finish,Espresso
Ethiopian Heirloom,Fazenda Boa Esperança,Citrusy,Hario V60
Villalobos,Santa Rita do Sapucaí,Spicy,Clever
Java,Patrocínio,Earthy,French Press
Blue Mountain,Três Pontas,Smokey,Italiana
Kona,Guaxupé,Citrusy,Espresso
Typica,Fazenda Monte Verde,Citrusy,Hario V60
Bourbon,Varginha,Citrusy,Clever
Caturra,Fazenda Primavera,Chocolatey,French Press
Catuai,Fazenda São Luiz,Full Body,Italiana
SL28,Fazenda Paraíso,Smooth Finish,Espresso
SL34,Guaxupé,Rich Flavor,Hario V60
Pacamara,Araguari,Bright Acidity,Clever
Gesha,Varginha,Nutty,French Press
Maragogipe,Lavras,Floral,Italiana
Mundo Novo,Serra Negra,Citrusy,Espresso
Yellow Bourbon,Fazenda Boa Esperança,Floral,Hario V60
Red Bourbon,Fazenda Paraíso,Nutty,Clever
Ethiopian Heirloom,Fazenda São Luiz,Fruity,French Press
Villalobos,Fazenda São Luiz,Smooth Finish,Italiana
Java,Fazenda Paraíso,Smokey,Espresso
Blue Mountain,Três Pontas,Chocolatey,Hario V60
Kona,Itamogi,Citrusy,Clever
Typica,Serra Negra,Earthy,French Press
Bourbon,Araguari,Earthy,Italiana
Caturra,Itamogi,Floral,Espresso
Catuai,Fazenda Serrinha,Balanced,Hario V60
SL28,Fazenda Monte Verde,Chocolatey,Clever
SL34,Guaxupé,Bright Acidity,French Press
Pacamara,Três Pontas,Earthy,Italiana
Gesha,Fazenda Santa Clara,Nutty,Espresso
Maragogipe,Fazenda Serrinha,Earthy,Hario V60
Mundo Novo,Fazenda Vista Alegre,Floral,Clever
Yellow Bourbon,Três Pontas,Citrusy,French Press
Red Bourbon,Fazenda Primavera,Smooth Finish,Italiana
Ethiopian Heirloom,Fazenda Monte Verde,Bright Acidity,Espresso
Villalobos,Fazenda Primavera,Sweet Aftertaste,Hario V60
Java,Poços de Caldas,Citrusy,Clever
Blue Mountain,Fazenda Boa Esperança,Citrusy,French Press
Kona,Itamogi,Rich Flavor,Italiana
Typica,Lavras,Balanced,Espresso
Bourbon,Fazenda Monte Verde,Citrusy,Hario V60
Caturra,Fazenda Monte Verde,Floral,Clever
Catuai,Itamogi,Smokey,French Press
SL28,Araguari,Floral,Italiana
SL34,Araguari,Floral,Espresso
Pacamara,Fazenda Serrinha,Balanced,Hario V60
Gesha,Itamogi,Earthy,Clever
Maragogipe,Fazenda Boa Esperança,Balanced,French Press
Mundo Novo,Serra Negra,Fruity,Italiana
Yellow Bourbon,Fazenda Primavera,Fruity,Espresso
Red Bourbon,São Sebastião do Paraíso,Rich Flavor,Hario V60
Ethiopian Heirloom,Fazenda Serrinha,Citrusy,Clever
Villalobos,Guaxupé,Floral,French Press
Java,Poços de Caldas,Earthy,Italiana
Blue Mountain,Lavras,Citrusy,Espresso
Kona,Lavras,Full Body,Hario V60
Typica,Fazenda Santa Clara,Smokey,Clever
Bourbon,Fazenda Paraíso,Balanced,French Press
Caturra,Fazenda São Luiz,Balanced,Italiana
Catuai,Três Pontas,Rich Flavor,Espresso
SL28,Patrocínio,Bright Acidity,Hario V60
SL34,Varginha,Earthy,Clever
Pacamara,Fazenda Boa Esperança,Rich Flavor,French Press
Gesha,Fazenda São Luiz,Full Body,Italiana
Maragogipe,Fazenda Santa Clara,Spicy,Espresso
Mundo Novo,Serra Negra,Sweet Aftertaste,Hario V60
Yellow Bourbon,Fazenda Paraíso,Floral,Clever
Red Bourbon,Fazenda Boa Esperança,Spicy,French Press
Ethiopian Heirloom,Araguari,Earthy,Italiana
Villalobos,Poços de Caldas,Caramel,Espresso
Java,Fazenda Vista Alegre,Citrusy,Hario V60
Blue Mountain,Fazenda Primavera,Chocolatey,Clever
Kona,Fazenda Serrinha,Fruity,French Press
Typica,Fazenda Paraíso,Balanced,Italiana
Bourbon,Lavras,Bright Acidity,Espresso
Caturra,Serra Negra,Smooth Finish,Hario V60
Catuai,Poços de Caldas,Chocolatey,Clever
SL28,Patrocínio,Smooth Finish,French Press
SL34,Fazenda Serrinha,Caramel,Italiana
Pacamara,Poços de Caldas,Citrusy,Espresso
Gesha,Varginha,Fruity,Hario V60
Maragogipe,Varginha,Bright Acidity,Clever
Mundo Novo,Carmo de Minas,Citrusy,French Press
Yellow Bourbon,Araguari,Nutty,Italiana
Red Bourbon,Fazenda Santa Clara,Chocolatey,Espresso
Ethiopian Heirloom,Patrocínio,Sweet Aftertaste,Hario V60
Villalobos,Fazenda Paraíso,Earthy,Clever
Java,Fazenda Paraíso,Earthy,French Press
Blue Mountain,Guaxupé,Fruity,Italiana
Kona,Itamogi,Spicy,Espresso
Typica,Patrocínio,Smooth Finish,Hario V60
Bourbon,Fazenda Santa Clara,Smokey,Clever
Caturra,Fazenda Boa Esperança,Sweet Aftertaste,French Press
Catuai,Fazenda Serrinha,Full Body,Italiana
SL28,Serra Negra,Smokey,Espresso
SL34,Lavras,Smokey,Hario V60
Pacamara,Serra Negra,Rich Flavor,Clever
Gesha,Fazenda Boa Esperança,Spicy,French Press
Maragogipe,Fazenda Serrinha,Earthy,Italiana
Mundo Novo,Araguari,Full Body,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Citrusy,Hario V60
Red Bourbon,Santa Rita do Sapucaí,Floral,Clever
Ethiopian Heirloom,Varginha,Smooth Finish,French Press
Villalobos,Fazenda Primavera,Earthy,Italiana
Java,Varginha,Sweet Aftertaste,Espresso
Blue Mountain,Fazenda Serrinha,Bright Acidity,Hario V60
Kona,Poços de Caldas,Citrusy,Clever
Typica,Fazenda Primavera,Smooth Finish,French Press
Bourbon,Fazenda Vista Alegre,Rich Flavor,Italiana
Caturra,Varginha,Bright Acidity,Espresso
Catuai,Guaxupé,Full Body,Hario V60
SL28,Serra Negra,Smooth Finish,Clever
SL34,Três Pontas,Bright Acidity,French Press
Pacamara,Carmo de Minas,Nutty,Italiana
Gesha,São Sebastião do Paraíso,Full Body,Espresso
Maragogipe,Varginha,Rich Flavor,Hario V60
Mundo Novo,Fazenda Serrinha,Chocolatey,Clever
Yellow Bourbon,Fazenda Serrinha,Spicy,French Press
Red Bourbon,Fazenda Primavera,Caramel,Italiana
Ethiopian Heirloom,Serra Negra,Caramel,Espresso
Villalobos,Itamogi,Smooth Finish,Hario V60
Java,Fazenda Boa Esperança,Chocolatey,Clever
Blue Mountain,Fazenda Santa Clara,Earthy,French Press
Kona,Santa Rita do Sapucaí,Smooth Finish,Italiana
Typica,Serra Negra,Floral,Espresso
Bourbon,Fazenda Boa Esperança,Balanced,Hario V60
Caturra,Fazenda Primavera,Spicy,Clever
Catuai,Carmo de Minas,Smokey,French Press
SL28,Fazenda Monte Verde,Floral,Italiana
SL34,Itamogi,Balanced,Espresso
Pacamara,Três Pontas,Nutty,Hario V60
Gesha,Fazenda Vista Alegre,Citrusy,Clever
Maragogipe,Araguari,Rich Flavor,French Press
Mundo Novo,Fazenda Primavera,Citrusy,Italiana
Yellow Bourbon,Varginha,Floral,Espresso
Red Bourbon,Carmo de Minas,Floral,Hario V60
Ethiopian Heirloom,Itamogi,Fruity,Clever
Villalobos,Fazenda Monte Verde,Smooth Finish,French Press
Java,Varginha,Smooth Finish,Italiana
Blue Mountain,Fazenda Santa Clara,Balanced,Espresso
Kona,Três Pontas,Balanced,Hario V60
Typica,Patrocínio,Full Body,Clever
Bourbon,Fazenda Monte Verde,Floral,French Press
Caturra,Fazenda Boa Esperança,Smooth Finish,Italiana
Catuai,Fazenda Santa Clara,Fruity,Espresso
SL28,Poços de Caldas,Smooth Finish,Hario V60
SL34,Fazenda São Luiz,Smokey,Clever
Pacamara,Araguari,Balanced,French Press
Gesha,Lavras,Bright Acidity,Italiana
Maragogipe,São Sebastião do Paraíso,Sweet Aftertaste,Espresso
Mundo Novo,Fazenda Vista Alegre,Floral,Hario V60
Yellow Bourbon,Patrocínio,Balanced,Clever
Red Bourbon,Serra Negra,Rich Flavor,French Press
Ethiopian Heirloom,Fazenda Primavera,Nutty,Italiana
Villalobos,Fazenda Primavera,Bright Acidity,Espresso
Java,Itamogi,Sweet Aftertaste,Hario V60
Blue Mountain,Fazenda Serrinha,Full Body,Clever
Kona,Itamogi,Floral,French Press
Typica,Três Pontas,Chocolatey,Italiana
Bourbon,Três Pontas,Earthy,Espresso
Caturra,Fazenda Monte Verde,Earthy,Hario V60
Catuai,Fazenda Monte Verde,Fruity,Clever
SL28,Patrocínio,Earthy,French Press
SL34,Lavras,Sweet Aftertaste,Italiana
Pacamara,Itamogi,Full Body,Espresso
Gesha,Fazenda Boa Esperança,Bright Acidity,Hario V60
Maragogipe,Três Pontas,Balanced,Clever
Mundo Novo,Varginha,Chocolatey,French Press
Yellow Bourbon,Guaxupé,Smokey,Italiana
Red Bourbon,Lavras,Smooth Finish,Espresso
Ethiopian Heirloom,Fazenda Boa Esperança,Earthy,Hario V60
Villalobos,Fazenda Serrinha,Earthy,Clever
Java,Poços de Caldas,Sweet Aftertaste,French Press
Blue Mountain,Fazenda Monte Verde,Nutty,Italiana
Kona,Fazenda Serrinha,Balanced,Espresso
Typica,Varginha,Balanced,Hario V60
Bourbon,Varginha,Full Body,Clever
Caturra,Itamogi,Smokey,French Press
Catuai,Três Pontas,Spicy,Italiana
SL28,Lavras,Sweet Aftertaste,Espresso
SL34,Araguari,Chocolatey,Hario V60
Pacamara,Lavras,Earthy,Clever
Gesha,Guaxupé,Full Body,French Press
Maragogipe,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Mundo Novo,Três Pontas,Rich Flavor,Espresso
Yellow Bourbon,Carmo de Minas,Smooth Finish,Hario V60
Red Bourbon,Três Pontas,Nutty,Clever
Ethiopian Heirloom,Poços de Caldas,Full Body,French Press
Villalobos,Itamogi,Chocolatey,Italiana
Java,Fazenda Monte Verde,Nutty,Espresso
Blue Mountain,Guaxupé,Full Body,Hario V60
Kona,Serra Negra,Balanced,Clever
Typica,Fazenda Boa Esperança,Spicy,French Press
Bourbon,Fazenda Monte Verde,Fruity,Italiana
Caturra,Guaxupé,Sweet Aftertaste,Espresso
Catuai,Fazenda Serrinha,Full Body,Hario V60
SL28,Fazenda Serrinha,Smooth Finish,Clever
SL34,Patrocínio,Fruity,French Press
Pacamara,Araguari,Earthy,Italiana
Gesha,Fazenda Boa Esperança,Spicy,Espresso
Maragogipe,Lavras,Nutty,Hario V60
Mundo Novo,Carmo de Minas,Smokey,Clever
Yellow Bourbon,São Sebastião do Paraíso,Fruity,French Press
Red Bourbon,Itamogi,Bright Acidity,Italiana
Ethiopian Heirloom,Varginha,Caramel,Espresso
Villalobos,Poços de Caldas,Citrusy,Hario V60
Java,Itamogi,Smooth Finish,Clever
Blue Mountain,Varginha,Bright Acidity,French Press
Kona,Patrocínio,Rich Flavor,Italiana
Typica,Araguari,Balanced,Espresso
Bourbon,Araguari,Bright Acidity,Hario V60
Caturra,Fazenda Paraíso,Full Body,Clever
Catuai,Patrocínio,Chocolatey,French Press
SL28,Santa Rita do Sapucaí,Smooth Finish,Italiana
SL34,Três Pontas,Spicy,Espresso
Pacamara,Guaxupé,Caramel,Hario V60
Gesha,Fazenda Primavera,Floral,Clever
Maragogipe,Carmo de Minas,Bright Acidity,French Press
Mundo Novo,Carmo de Minas,Earthy,Italiana
Yellow Bourbon,Poços de Caldas,Citrusy,Espresso
Red Bourbon,Poços de Caldas,Fruity,Hario V60
Ethiopian Heirloom,São Sebastião do Paraíso,Smooth Finish,Clever
Villalobos,Fazenda Santa Clara,Chocolatey,French Press
Java,Poços de Caldas,Rich Flavor,Italiana
Blue Mountain,Carmo de Minas,Balanced,Espresso
Kona,Lavras,Floral,Hario V60
Typica,Lavras,Caramel,Clever
Bourbon,Fazenda Boa Esperança,Floral,French Press
Caturra,Três Pontas,Earthy,Italiana
Catuai,Guaxupé,Caramel,Espresso
SL28,Fazenda Santa Clara,Full Body,Hario V60
SL34,Fazenda Serrinha,Chocolatey,Clever
Pacamara,Santa Rita do Sapucaí,Full Body,French Press
Gesha,Fazenda Paraíso,Chocolatey,Italiana
Maragogipe,Fazenda São Luiz,Sweet Aftertaste,Espresso
Mundo Novo,Fazenda Santa Clara,Sweet Aftertaste,Hario V60
Yellow Bourbon,Fazenda Serrinha,Floral,Clever
Red Bourbon,Serra Negra,Chocolatey,French Press
Ethiopian Heirloom,Fazenda Serrinha,Caramel,Italiana
Villalobos,Fazenda Boa Esperança,Smokey,Espresso
Java,Santa Rita do Sapucaí,Floral,Hario V60
Blue Mountain,Lavras,Caramel,Clever
Kona,Guaxupé,Floral,French Press
Typica,Serra Negra,Smokey,Italiana
Bourbon,Fazenda Primavera,Earthy,Espresso
Caturra,Fazenda Serrinha,Fruity,Hario V60
Catuai,Serra Negra,Floral,Clever
SL28,Três Pontas,Balanced,French Press
SL34,Três Pontas,Fruity,Italiana
Pacamara,Patrocínio,Rich Flavor,Espresso
Gesha,Fazenda Primavera,Sweet Aftertaste,Hario V60
Maragogipe,Fazenda Paraíso,Earthy,Clever
Mundo Novo,Guaxupé,Full Body,French Press
Yellow Bourbon,Patrocínio,Nutty,Italiana
Red Bourbon,Fazenda Serrinha,Fruity,Espresso
Ethiopian Heirloom,Fazenda Paraíso,Nutty,Hario V60
Villalobos,Fazenda Santa Clara,Earthy,Clever
Java,Lavras,Balanced,French Press
Blue Mountain,Fazenda São Luiz,Earthy,Italiana
Kona,São Sebastião do Paraíso,Citrusy,Espresso
Typica,Varginha,Fruity,Hario V60
Bourbon,Três Pontas,Nutty,Clever
Caturra,Fazenda Boa Esperança,Chocolatey,French Press
Catuai,Varginha,Smokey,Italiana
SL28,Patrocínio,Floral,Espresso
SL34,Fazenda Boa Esperança,Sweet Aftertaste,Hario V60
Pacamara,Fazenda Serrinha,Chocolatey,Clever
Gesha,Fazenda São Luiz,Smooth Finish,French Press
Maragogipe,Santa Rita do Sapucaí,Smokey,Italiana
Mundo Novo,Fazenda Vista Alegre,Caramel,Espresso
Yellow Bourbon,Fazenda Boa Esperança,Sweet Aftertaste,Hario V60
Red Bourbon,Poços de Caldas,Chocolatey,Clever
Ethiopian Heirloom,Patrocínio,Fruity,French Press
Villalobos,Guaxupé,Citrusy,Italiana
Java,Carmo de Minas,Smooth Finish,Espresso
Blue Mountain,Serra Negra,Balanced,Hario V60
Kona,Varginha,Spicy,Clever
Typica,Patrocínio,Smokey,French Press
Bourbon,Fazenda Vista Alegre,Spicy,Italiana
Caturra,Poços de Caldas,Sweet Aftertaste,Espresso
Catuai,Fazenda Primavera,Earthy,Hario V60
SL28,Varginha,Floral,Clever
SL34,Carmo de Minas,Full Body,French Press
Pacamara,Fazenda Paraíso,Smokey,Italiana
Gesha,Fazenda Serrinha,Smooth Finish,Espresso
Maragogipe,Carmo de Minas,Rich Flavor,Hario V60
Mundo Novo,Três Pontas,Balanced,Clever
Yellow Bourbon,Poços de Caldas,Caramel,French Press
Red Bourbon,Fazenda Primavera,Earthy,Italiana
Ethiopian Heirloom,Fazenda Primavera,Floral,Espresso
Villalobos,Fazenda Monte Verde,Nutty,Hario V60
Java,Itamogi,Fruity,Clever
Blue Mountain,Santa Rita do Sapucaí,Floral,French Press
Kona,Varginha,Nutty,Italiana
Typica,Carmo de Minas,Balanced,Espresso
Bourbon,São Sebastião do Paraíso,Nutty,Hario V60
Caturra,Santa Rita do Sapucaí,Chocolatey,Clever
Catuai,Varginha,Caramel,French Press
SL28,Patrocínio,Earthy,Italiana
SL34,Guaxupé,Earthy,Espresso
Pacamara,Santa Rita do Sapucaí,Smokey,Hario V60
Gesha,Patrocínio,Balanced,Clever
Maragogipe,Fazenda Vista Alegre,Smokey,French Press
Mundo Novo,Lavras,Caramel,Italiana
Yellow Bourbon,Poços de Caldas,Full Body,Espresso
Red Bourbon,Fazenda Paraíso,Balanced,Hario V60
Ethiopian Heirloom,Varginha,Nutty,Clever
Villalobos,Carmo de Minas,Full Body,French Press
Java,Carmo de Minas,Floral,Italiana
Blue Mountain,Carmo de Minas,Chocolatey,Espresso
Kona,Fazenda Serrinha,Sweet Aftertaste,Hario V60
Typica,São Sebastião do Paraíso,Nutty,Clever
Bourbon,Serra Negra,Smokey,French Press
Caturra,Fazenda São Luiz,Spicy,Italiana
Catuai,Patrocínio,Bright Acidity,Espresso
SL28,Fazenda Primavera,Nutty,Hario V60
SL34,Fazenda Serrinha,Fruity,Clever
Pacamara,São Sebastião do Paraíso,Rich Flavor,French Press
Gesha,Fazenda Paraíso,Smokey,Italiana
Maragogipe,Varginha,Citrusy,Espresso
Mundo Novo,Guaxupé,Rich Flavor,Hario V60
Yellow Bourbon,Lavras,Caramel,Clever
Red Bourbon,Poços de Caldas,Caramel,French Press
Ethiopian Heirloom,Varginha,Nutty,Italiana
Villalobos,Fazenda Paraíso,Smokey,Espresso
Java,Fazenda Serrinha,Rich Flavor,Hario V60
Blue Mountain,Fazenda Santa Clara,Balanced,Clever
Kona,Serra Negra,Spicy,French Press
Typica,Araguari,Rich Flavor,Italiana
Bourbon,Fazenda Paraíso,Full Body,Espresso
Caturra,Fazenda Monte Verde,Nutty,Hario V60
Catuai,Três Pontas,Fruity,Clever
SL28,Fazenda Vista Alegre,Floral,French Press
SL34,Carmo de Minas,Rich Flavor,Italiana
Pacamara,Araguari,Balanced,Espresso
Gesha,Fazenda Serrinha,Caramel,Hario V60
Maragogipe,Fazenda Santa Clara,Balanced,Clever
Mundo Novo,Carmo de Minas,Floral,French Press
Yellow Bourbon,Fazenda Monte Verde,Bright Acidity,Italiana
Red Bourbon,Itamogi,Sweet Aftertaste,Espresso
Ethiopian Heirloom,Patrocínio,Caramel,Hario V60
Villalobos,Carmo de Minas,Spicy,Clever
Java,Fazenda Vista Alegre,Smooth Finish,French Press
Blue Mountain,Serra Negra,Floral,Italiana
Kona,Fazenda Serrinha,Full Body,Espresso
Typica,Fazenda Primavera,Spicy,Hario V60
Bourbon,Fazenda Santa Clara,Full Body,Clever
Caturra,Fazenda Boa Esperança,Fruity,French Press
Catuai,Santa Rita do Sapucaí,Caramel,Italiana
SL28,Guaxupé,Fruity,Espresso
SL34,Fazenda Boa Esperança,Caramel,Hario V60
Pacamara,Guaxupé,Bright Acidity,Clever
Gesha,Fazenda Serrinha,Spicy,French Press
Maragogipe,Fazenda Monte Verde,Bright Acidity,Italiana
Mundo Novo,Serra Negra,Smooth Finish,Espresso
Yellow Bourbon,Três Pontas,Spicy,Hario V60
Red Bourbon,Três Pontas,Earthy,Clever
Ethiopian Heirloom,Guaxupé,Chocolatey,French Press
Villalobos,Varginha,Fruity,Italiana
Java,Três Pontas,Smooth Finish,Espresso
Blue Mountain,Patrocínio,Floral,Hario V60
Kona,Lavras,Chocolatey,Clever
Typica,Fazenda Boa Esperança,Caramel,French Press
Bourbon,Fazenda Serrinha,Earthy,Italiana
Caturra,Fazenda Santa Clara,Sweet Aftertaste,Espresso
Catuai,Fazenda São Luiz,Full Body,Hario V60
